"Date","Price","Open","High","Low","Vol.","Change %"
"05/03/2022","27.05","27.14","27.81","26.77","2.46M","-1.64%"
"05/02/2022","27.50","28.18","29.28","27.50","5.25M","-0.76%"
"04/29/2022","27.71","26.51","28.15","26.09","6.17M","6.41%"
"04/28/2022","26.04","26.10","27.71","25.72","5.02M","-4.26%"
"04/27/2022","27.20","26.01","27.25","25.51","6.05M","3.23%"
"04/26/2022","26.35","25.23","27.16","25.21","4.75M","6.25%"
"04/25/2022","24.80","26.60","26.97","24.80","5.42M","-5.16%"
"04/22/2022","26.15","25.25","26.50","24.84","4.44M","5.19%"
"04/21/2022","24.86","24.20","25.22","24.01","2.62M","1.93%"
"04/20/2022","24.39","24.36","25.17","24.31","1.68M","-1.37%"
"04/19/2022","24.73","25.08","25.24","24.46","2.54M","-2.29%"
"04/18/2022","25.31","25.15","25.59","24.84","2.24M","1.28%"
"04/14/2022","24.99","24.52","25.07","24.15","2.93M","1.63%"
"04/13/2022","24.59","25.75","26.02","24.53","2.93M","-4.47%"
"04/12/2022","25.74","25.18","26.37","24.70","4.32M","-1.38%"
"04/11/2022","26.10","25.38","26.10","24.75","3.46M","5.80%"
"04/08/2022","24.67","24.35","25.00","23.72","2.78M","2.58%"
"04/07/2022","24.05","24.68","24.95","24.01","3.28M","-1.35%"
"04/06/2022","24.38","26.01","26.47","24.35","4.73M","-1.73%"
"04/05/2022","24.81","24.60","25.89","24.17","4.37M","1.56%"
"04/04/2022","24.43","25.01","25.28","23.99","3.59M","-2.40%"
"04/01/2022","25.03","25.57","25.89","25.00","3.07M","-2.61%"
"03/31/2022","25.70","25.33","26.02","25.21","2.95M","2.80%"
"03/30/2022","25.00","25.28","25.81","24.78","3.94M","0.60%"
"03/29/2022","24.85","25.10","25.49","24.22","5.13M","-3.42%"
"03/28/2022","25.73","25.72","30.47","25.40","10.35M","2.10%"
"03/25/2022","25.20","25.05","25.78","24.94","4.49M","0.00%"
"03/24/2022","25.20","25.02","26.03","24.75","3.57M","-1.14%"
"03/23/2022","25.49","25.90","25.99","24.48","4.82M","0.18%"
"03/22/2022","25.44","25.54","25.65","24.48","4.85M","-2.17%"
"03/21/2022","26.01","24.79","26.32","23.89","8.93M","4.04%"
"03/18/2022","25.00","27.38","27.88","24.64","9.72M","-4.40%"
"03/17/2022","26.15","26.40","27.54","25.80","8.54M","0.77%"
"03/16/2022","25.95","29.54","29.67","25.89","13.52M","-9.58%"
"03/15/2022","28.70","30.89","41.65","28.70","52.40M","-0.38%"
"03/14/2022","28.81","26.21","30.75","25.45","65.44M","9.38%"
"03/11/2022","26.34","25.03","26.43","24.99","51.12M","1.97%"
"03/10/2022","25.83","27.40","27.53","25.81","48.68M","-4.44%"
